document,chunk,text,question
"the-roar-of-battle","3","The shot travel at velocities up to and over the speed of sound, and every shot fired at the ship side punches a hole completely through up to 80 cm of solid oak.","What is the maximum thickness of solid oak that each shot can completely penetrate?"
"fishing-for-cannons","1","Repeated attempts to raise the ship fail; it is firmly stuck in the mud of the harbour bottom.","Were the attempts to salvage the ship unsuccessful due to it being lodged in the harbour's bottom mud?"
"drying-out","1","Even after being sprayed for 17 years, the ship has a long way to go.","How long has the boat been treated with spray?"
"vasa-moves-for-the-first-time-in-331-years","5","Divers will spend another year and a half preparing the ship for the final lift.","How long will it take divers to prepare the ship for the final lift?"
"the-machine-of-war-is-launched","1","When completed, it is 69 metres long and more than 50 metres tall from the keel to the top of the main mast.","What is the height from the base to the top of the main mast when finished?"
"the-shortest-maiden-voyage-in-history?","1","Still within sight of the shipyard where it was built, Vasa heels to port under a gust and water gushes in through the open gun-ports.","What happened when a gust hit the Vasa near the shipyard where it was built?"
"drying-out","2","The wood has to dry slowly to avoid cracking, and over the next ten years the humidity is gradually lowered.","What process must the wood undergo over a decade to prevent it from cracking?"
"50th-anniversary-and-record-visitor-numbers","1","The Vasa Museum sets a new record with well over 1.2 million visitors.","What museum recently set a new record with more than 1.2 million visitors?"
"the-machine-of-war-is-launched","2","The ship weighs over 1200 tonnes once outfitted with ten sails, 64 cannons, 120 tonnes of ballast and hundreds of sculptures.","What is the approximate weight of the ship after it is equipped with sails, cannons, ballast, and sculptures?"
"fishing-for-cannons","3","They use a recently perfected invention, the diving bell, to reach the ship, rip up the deck, and extract guns, which are sold abroad.","What invention was recently perfected and used to reach the ship and extract guns?"
"anders-franzén-gets-a-bite","6","Could it be Vasa?","Is it possible that it's Vasa?"
"millennium-bug","0","In summer 2000, the weather is terrible, with nearly constant rain.","How was the weather during the summer of 2000?"
"anders-franzén-gets-a-bite","2","After his drag has once again caught an obstruction on the bottom, his coring device has returned to the surface with a plug of black, waterlogged oak.","What type of material was brought back to the surface by the coring device?"
"vasa-gets-a-new-home","2","The ship is the centrepiece of themed exhibits about all aspects of naval life in the early 17th century.","What is the main focus of the exhibits that revolve around naval life in the early 17th century?"
"anders-franzén-gets-a-bite","5","Franzén has enough evidence to persuade the navy to send a diving team to investigate.","Did the evidence gathered by Franzén convince the navy to dispatch a diving team for further investigation?"
"50th-anniversary-and-record-visitor-numbers","2","After half a century of conservation and restoration work, the success of Vasa is easy to understand: it is unique, an intact ship from a forgotten time.","What makes the Vasa ship special after fifty years of conservation and restoration?"
"the-master-of-shipwright-fades-away","0","Vasa´s keel is laid in the late winter at Skeppsgården, the navy yard, in Stockholm.","Where was Vasa's keel laid in the late winter?"
"a-faithful-contract","4","It is the beginning of one of the most spectacular fiascos in Swedish history.","What event marks a significant disaster in the history of Sweden?"
"the-master-of-shipwright-fades-away","1","Master Henrik Hybertsson, already ill when construction starts, can no longer supervise the other shipwrights by the summer and has to hand over responsibility for the new ship to his assistant, Hein Jakobsson.","Who took over the construction of the new ship when the original supervisor fell ill?"
"vasa-moves-for-the-first-time-in-331-years","4","The ship is lifted and moved under the water surface in 18 stages, and in September Vasa lies at a depth of 17 metres by the island of Kastellholmen.","How many stages were involved in lifting the ship under the water surface?"
"anders-franzén-gets-a-bite","0","The calendar shows 25 August 1956 when Anders Franzén, a fuels engineer, finally gets a bite.","What occupation did the individual who got a 'bite' on August 25, 1956 have?"
"a-faithful-contract","1","In January 1625, the Swedish king signs a contract with the Dutch master shipwright Henrik Hybertsson and his business partner, Arendt de Groote.","Who did the Swedish king sign a contract with in the 17th century?"
"the-roar-of-battle","0","In 2013, an exact copy of one of Vasa's cannon is cast at Tierps Jernbruk.","Where was a replica of Vasa's cannon created in 2013?"
"vasa-moves-for-the-first-time-in-331-years","0","The proposals are many and imaginative, everything from filling Vasa with ping-pong balls to freezing it in a giant ice-cube.","What are some of the creative ideas suggested for the handling of Vasa?"
"the-perfect-scapegoat","0","A fearful Royal Council writes to tell the king of the disaster.","Who was informed by the Royal Council about the disaster?"
"new-bolts","1","Now eight tons lighter and with new steel bolts highly resistant to corrosion reducing the risk of chemical reactions in the wood, Vasa is expected to last for many years to come.","What measures have been taken to extend the longevity of Vasa?"
"50th-anniversary-and-record-visitor-numbers","3","Over 98% of the original structure survives, including masts and sails, so it does not look like a wreck, but a ship awaiting the start of the next voyage, just as Vasa looked in the winter of 1628.","How much of the original structure of the ship still remains intact?"
"a-faithful-contract","0","The Lion of the North, Gustav II Adolf, is building Sweden into one of the most feared powers in Europe.","Who is strengthening Sweden to be among the most intimidating forces in Europe?"
